#timestamp, T [C]
2023-03-02T15:49:56Z, 24.38
2023-03-02T15:51:51Z, 23.53
2023-03-02T15:52:04Z, 7.6
2023-03-02T15:52:38Z, 3.9
2023-03-02T15:52:43Z, 3.3
2023-03-02T15:52:53Z, 2.9
2023-03-02T15:53:03Z, 2.7
2023-03-02T15:53:13Z, 2.6
2023-03-02T15:53:23Z, 2.5
2023-03-02T15:53:33Z, 2.45
2023-03-02T15:53:43Z, 2.40
2023-03-02T15:53:53Z, 2.37
2023-03-02T15:54:03Z, 2.36
2023-03-02T15:54:13Z, 2.35
2023-03-02T15:54:23Z, 2.34
2023-03-02T15:54:33Z, 2.34
2023-03-02T15:54:43Z, 2.34
2023-03-02T15:54:53Z, 2.33
2023-03-02T15:55:03Z, 2.33
2023-03-02T15:55:13Z, 2.34
2023-03-02T15:55:23Z, 2.33
2023-03-02T15:55:33Z, 2.34
2023-03-02T15:55:43Z, 2.33
2023-03-02T15:55:03Z, 2.33
2023-03-02T15:56:13Z, 2.33
2023-03-02T15:56:23Z, 2.33
